niche_id,niche_name,domain_name,area_name,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
services_as_software__elder_benefits_admin_firm,長者福利與遺產行政 AI 事務所,AI 原生商業模式,服務即軟體公司,6.92,6,10,8,7,7,9,8,0.45,8,25,人口高齡化,到 2030 年將有 20% 的美國人年滿 65 歲以上，到 2034 年約有 9.7M 個直接照護職缺待補（PHI），而 YC 2026 年秋季 RFS 明確點名「AI for the Aging Population
consumer_health__caregiver_coordination_os,面向成年子女的照護協調 OS,消費者 AI,個人健康與教練,6.77,9,9,5,7,7,8,7,0.6,200,30,語音跨過可用門檻; 人口高齡化,能撐過真實電話等候佇列與語音選單的語音代理，直到 2026 年 1 月才達到人類等級的對話節奏；YC 2026 秋季 RFS 也明確點名要做面向高齡人口的 AI，對上 9.7M 的直接
consumer_commerce_travel__ai_native_travel_agency,收供應商佣金的 AI 原生旅行社,消費者 AI,購物、旅遊與生活,6.77,9,7,6,8,6,8,7,0.6,130,15,代理支付軌道成形,行程規劃新創公司證明了消費者不會訂閱、但願意交易，而 2026 年的代理支付軌道（AP2 於 2026 年 4 月 28 日捐給 FIDO、Mastercard Agent Pay 已在 10 個以上市場上線）加上 AI
app_builders__vertical_micro_apps,大量客製化的垂直微型應用,軟體開發與開發者工具,一句話生成應用,6.69,6,7,7,8,6,8,7,0.5,10,10,推論價格崩跌,成本崩跌讓客製應用在中小企業價位仍有利可圖：Simon Willison 的 sqlite-utils 4.0「大部分由 Claude 以 $149 寫成」（2026 年 7 月），而 DeepSeek Harness 
companionship_social__elder_voice_companion,孤獨長者的語音陪伴來電,消費者 AI,陪伴與社交,6.64,5,9,7,8,5,9,7,0.5,5.0,15,語音跨過可用門檻; 人口高齡化,接近真人水準的語音輪替在 2026 年 1 月以商品化成本問世（Tavus Sparrow-1，55ms 延遲），終於讓以電話為主的長者對話變得自然，而 YC 2026 年秋季 RFS 也明確點名『高齡 AI』
accounting_finance_ops__vertical_ai_bookkeeping_firm,單一垂直產業 AI 原生記帳事務所,財務、法務與法遵,會計記帳與財務作業,6.59,9,6,4,8,5,9,6,0.6,80.9,15,,代理可靠度（2025-26 模型迭代）加上被正式命名的「AINS」運動（Emergence／Saper 高峰會，Newcomer 2026 年 8 月 19 日），首度讓以軟體毛利銷售這項服務成為可行
outcome_marketplaces__agent_escalation_network,代理專用隨選真人升級網路,AI 原生商業模式,成果市集與接案平台,6.57,8,9,7,6,7,6,8,0.55,30,40,MCP 標準化,到 2026 年中，代理部署的廣度已使備援成為上線要求，而非展示階段的顧慮——MCP 自己 2026 年 8 月 22 日的路線圖也承認代理權限轉授／驗證與伺服器發起的
ai_rollups__automatability_underwriting,併購方的自動化增值核保評估,AI 原生商業模式,AI 併購整合與收購,6.52,5,9,8,6,7,9,9,0.5,6.0,25,,"AI 併購整合論述在過去約 6 個月才變成可融資的核保問題——Thrive Holdings 的 $1B 會計事務所整合（Forbes, 2026 年 6 月 2 日）、Beacon 的 $225M C 輪（2026 年"
agent_identity_payments__mandate_attestation_fraud,代理交易的證明與詐欺驗證,AI 代理基礎設施,代理身分與支付,6.49,3,9,8,6,7,9,9,0.45,1.5,30,代理支付軌道成形,由 FIDO 治理的 AP2（2026 年 4 月 28 日）首次讓授權指令鏈可端到端稽核，而 AP2 v0.2 的「人不在場」模式正好製造出這類爭議（「我的代理沒被授權做那件事」）
search_visibility__geo_services_smb_verticals,地方／中小企業垂直產業 GEO 服務,搜尋、知識與研究,AI 搜尋能見度與 GEO,6.49,7,8,5,9,4,8,6,0.6,30,8,,AI Overviews 目前出現在 43% 的搜尋中（2026 年 7 月），排名第 1 的點擊數少了 58%（2026 年 7 月）——中小企業在 2026 年切身感受到流量下滑，而他們的 SEO 代理商拿不出辦法；
future_of_work__workplace_data_brokerage,面向 AI 實驗室的職場資料權利仲介,人才、人資與工作,AI 時代工作平台,6.49,5,9,7,6,8,5,9,0.5,8,20,,2026 年 7-8 月，實驗室對離線工作流程資料的渴求進入主流——Slack 封存紀錄、倒閉新創的 Email、技術工班作業流程資料，正以六到八位數價格被收購，且尚無主導的仲介
generalist_automation__per_task_browser_agents,中小企業入口網站的按件瀏覽器代理,營運與後台自動化,通用 AI 員工與自動化,6.44,7,8,5,7,5,8,8,0.65,28,15,電腦操作成本大降,OSWorld 2.0（2026 年 6 月 26 日）搭配 Opus-5 等級的同成本 SOTA，加上 Cloudflare Kitesurf 代理瀏覽器（2026 年 8 月 6 日，比 Chromium 便宜 3-
trades_home_services__back_office_box,技術工班的代理式後台作業,垂直產業（建築與商業）,技術工班與居家服務,6.44,7,6,6,7,6,8,7,0.5,25,20,電腦操作成本大降,2026 年等級的電腦操作／瀏覽器代理如今已能穩定地端到端操作 QuickBooks、OEM 保固入口網站與公用事業回饋金網站，這在 2025 年底之前並不可靠
