niche_id,niche_name,domain_name,area_name,description,worth_it_composite,market_size_1_10,growth_tailwind_1_10,openness_1_10,feasibility_1_10,moat_potential_1_10,wave_resilience_1_10,timing_1_10,confidence_0_1,market_estimate_usd_billions_per_year,cost_to_start_usd_thousands,enabling_frontier_shifts,why_now
services_as_software__elder_benefits_admin_firm,AI-run elder benefits and estate admin firm,AI-Native Business Models,Services-as-software firms,"A flat-fee service firm that handles the once-in-a-lifetime paperwork around aging parents: Medicaid spend-down applications, long-term-care insurance claims, V",6.92,6,10,8,7,7,9,8,0.45,8,25,Aging demographics,"20% of Americans will be 65+ by 2030 with ~9.7M direct-care positions to fill by 2034 (PHI), and YC's Fall 2026 RFS explicitly names 'AI for the Aging Populatio"
consumer_health__caregiver_coordination_os,Caregiver coordination OS for adult children,Consumer AI,Consumer health & coaching,"A shared family workspace plus an agent that actually does the caregiving admin for an aging parent — booking and prepping appointments, refilling and reconcili",6.77,9,9,5,7,7,8,7,0.6,200,30,Voice crossed threshold; Aging demographics,"Voice agents that can survive real hold queues and phone trees only reached human-grade timing in Jan 2026, and YC's Fall 2026 RFS explicitly asks for AI for th"
consumer_commerce_travel__ai_native_travel_agency,AI-native travel agency taking supplier commissions,Consumer AI,"Shopping, travel & lifestyle","An AI-native travel agency (host-agency affiliated) where agents do discovery, itinerary design, booking and 24/7 in-trip servicing for complex leisure trips, a",6.77,9,7,6,8,6,8,7,0.6,130,15,Agent payment rails,"Trip-planner startups proved consumers won't subscribe but will transact, and 2026 agent rails (AP2 donated to FIDO Apr 28 2026, Mastercard Agent Pay live in 10"
app_builders__vertical_micro_apps,Mass-customized vertical micro-apps,Software Creation & Developer Tools,Prompt-to-app builders & malleable software,"Agent-built, agent-maintained bespoke software for businesses too small for vertical SaaS (niche trades, clinics, clubs): customer describes their workflow, an ",6.69,6,7,7,8,6,8,7,0.5,10,10,Inference price collapse,Cost collapse made bespoke apps profitable at SMB prices: Simon Willison's sqlite-utils 4.0 shipped 'mostly written by Claude for $149' (Jul 2026) and DeepSeek 
companionship_social__elder_voice_companion,Voice-first AI companion calls for isolated elders,Consumer AI,Companionship & social,"Daily proactive phone/voice-device companionship for elders who won't use apps — conversation, reminders, and mood/health signal detection — with a family-in-th",6.64,5,9,7,8,5,9,7,0.5,5.0,15,Voice crossed threshold; Aging demographics,"Human-grade voice turn-taking at commodity cost arrived Jan 2026 (Tavus Sparrow-1, 55ms latency) making phone-first elder conversation finally natural, and YC's"
accounting_finance_ops__vertical_ai_bookkeeping_firm,AI-native bookkeeping firm for one vertical,"Finance, Legal & Compliance","Accounting, bookkeeping & finance ops","An AINS-style bookkeeping/CAS firm (service model, not SaaS) that pairs agents with a few accountants and sells done-for-you books, payroll coordination, and mo",6.59,9,6,4,8,5,9,6,0.6,80.9,15,,"Agent reliability (2025-26 model wave) plus the named 'AINS' movement (Emergence/Saper summit, Newcomer Aug 19 2026) makes selling the service at software margi"
outcome_marketplaces__agent_escalation_network,On-demand human escalation network for agents,AI-Native Business Models,Outcome marketplaces & work platforms,"An API-callable network of vetted domain humans that production AI agents dispatch to when they hit a blocker (a judgment call, an identity check, a licensed si",6.57,8,9,7,6,7,6,8,0.55,30,40,MCP standardization,"By mid-2026 agent deployments are broad enough that fallback is a production requirement rather than a demo concern — MCP's own Aug 22, 2026 roadmap admits agen"
ai_rollups__automatability_underwriting,Automation-upside underwriting for acquirers,AI-Native Business Models,AI-powered rollups & buyouts,"A diligence product that scores an acquisition target's labor base role-by-role for how much of it agents can actually absorb, and prices the resulting EBITDA u",6.52,5,9,8,6,7,9,9,0.5,6.0,25,,"The AI-rollup thesis only became a financeable underwriting question in the last ~6 months — Thrive Holdings' $1B accounting roll-up (Forbes, Jun 2, 2026), Beac"
agent_identity_payments__mandate_attestation_fraud,Agent-transaction attestation and fraud verification,Agent Infrastructure,"Agent identity, auth & payments","A service that cryptographically verifies the mandate chain behind an agent-initiated transaction (was this agent authorized, by whom, within what scope) and pa",6.49,3,9,8,6,7,9,9,0.45,1.5,30,Agent payment rails,"FIDO-governed AP2 (Apr 28, 2026) made mandate chains auditable end-to-end for the first time, and AP2 v0.2's Human-Not-Present mode creates the exact disputes ("
search_visibility__geo_services_smb_verticals,Productized GEO service for local/SMB verticals,"Search, Knowledge & Research",AI-search visibility & GEO,"AI-native done-for-you service that makes local and SMB businesses (dentists, HVAC, law firms, clinics) the answer AI assistants recommend — content restructuri",6.49,7,8,5,9,4,8,6,0.6,30,8,,AI Overviews now in 43% of searches (Jul 2026) and #1 rankings deliver 58% fewer clicks (Jul 2026) — SMBs feel the traffic drop in 2026 and their SEO agencies h
future_of_work__workplace_data_brokerage,Workplace-data rights brokerage for AI labs,"People, HR & Work",AI-era work platforms,"Broker that helps companies (including wind-downs and undigitized trades firms) package, consent-clear, and sell their workflow data, comms archives, and proces",6.49,5,9,7,6,8,5,9,0.5,8,20,,"In Jul-Aug 2026 labs' hunger for offline workflow data went mainstream — Slack archives, dead-startup emails, and trades process data are being bought at six-to"
generalist_automation__per_task_browser_agents,Per-task browser agents for SMB portal work,Operations & Back-office Automation,Generalist AI employees & no-code automation,"Computer-use agents that do the SMB back office's portal drudgery — government filings, insurer/provider portals, supplier sites, form submissions — sold per co",6.44,7,8,5,7,5,8,8,0.65,28,15,Cheap computer use,"OSWorld 2.0 (Jun 26, 2026) with Opus-5-class SOTA-at-cost plus Cloudflare Kitesurf agent browsers (Aug 6, 2026, 3-7x cheaper than Chromium) made per-task pricin"
trades_home_services__back_office_box,Agentic back office for trade shops,Industry Verticals (Built World & Commerce),Trades & home services,"AI office-in-a-box that runs the non-phone paperwork of a trade shop: job costing, invoicing/AR chase, bookkeeping sync, payroll prep, and OEM warranty/rebate c",6.44,7,6,6,7,6,8,7,0.5,25,20,Cheap computer use,"2026-grade computer-use/browser agents can now reliably operate QuickBooks, OEM warranty portals, and utility rebate sites end-to-end, which was not dependable "
learning_consumer__realtime_video_skill_coach,Real-time video coach for physical skills,Consumer AI,Consumer learning & skills,"A phone-camera coach that watches you play an instrument, swing, lift or dance and corrects technique conversationally in the moment — not a post-hoc video revi",6.42,6,8,7,7,6,8,9,0.5,8,40,Voice crossed threshold,"Real-time multimodal video-plus-voice only became an ordinary API in the last ~12 months (Gemini 3.5 Flash + Omni May 19, 2026; Gemini 3.7 Flash Aug 13, 2026; O"
enterprise_knowledge__org_context_layer,Agent-ready org memory layer,"Search, Knowledge & Research",Enterprise search & knowledge,"A permission-aware knowledge/context layer that both employees and AI agents read AND write — served over MCP so every agent harness (Claude Cowork, Codex fleet",6.39,7,8,4,7,7,7,7,0.6,20,15,MCP standardization; Long-horizon agents,"MCP went stateless (Jul 28, 2026) making shared context servable like web infra, and F1's Aug 2026 scan finds agent memory 'still a cottage industry — no winner"
