slug,name,batch,batch_year,status,team_size,yc_top_company,ai_relation,primary_theme,subtheme,vertical,is_agent,target_customer,one_liner,total_raised_usd_m,valuation_usd_m,outcome_details,label_confidence
rote,Rote,Winter 2027,2027,Active,0,0,ai_native,vertical_other,automotive_dealers,automotive,1,smb,AI-native insurance department for auto body shops,,,,0.85
devfast,/dev/fast,Winter 2026,2026,Active,4,0,ai_native,coding_devtools,code_review,,0,developers,/dev/fast is the AI-native code forge,,,,0.6
10x-science,10x Science,Winter 2026,2026,Active,5,0,ai_native,bio_science,protein_characterization,science_biotech,0,enterprise,The AI-native platform for next-generation protein characterization.,,,,0.9
21st,21st,Winter 2026,2026,Active,3,0,ai_infrastructure,coding_devtools,ui_component_registry,,0,developers,UI building blocks for the agentic internet,,,,0.75
6thsense,6thSense,Summer 2026,2026,Active,4,0,ai_native,robotics,robot_sensing,,0,mixed_b2b,Nervous System for Physical AI,,,,0.5
83-sciences,83 Sciences,Summer 2026,2026,Active,3,0,ai_native,bio_science,materials_chemistry,science_biotech,0,enterprise,AI-native materials discovery powered by unpublished experimental data,,,,0.85
9-mothers-corporation,9 Mothers,Spring 2026,2026,Active,19,0,ai_enabled,defense_gov,counter_drone_systems,defense,0,government,Counter Drone Systems. $1.6m sales. We delivered for the DoW.,,,,0.85
aice,AICE,Spring 2026,2026,Active,2,0,ai_enabled,defense_gov,defense_autonomy_isr,defense,0,government,Submarine drones for defense,,,,0.85
anoria,ANORIA,Spring 2026,2026,Active,5,0,ai_enabled,consumer,health_wellness_coaching,,0,consumer,The first wearable that reads your emotions to enhance your EQ. ,,,,0.7
arc-prize-foundation,ARC Prize Foundation,Winter 2026,2026,Active,4,0,ai_infrastructure,data_ml_ops,evals_benchmarks,,0,other,AI benchmarks that measure general intelligence and inspire new ideas,,,,0.8
abinitio-bio,AbInitio Bio,Spring 2026,2026,Active,2,0,ai_native,bio_science,biomanufacturing_models,science_biotech,0,enterprise,The Intelligence layer for Drug Manufacturing,,,,0.85
adialante,Adialante,Spring 2026,2026,Active,4,0,ai_enabled,healthcare,diagnostics_imaging,healthcare,0,enterprise,Cancer screening without barriers,,,,0.75
advanced-metal-research,Advanced Metal Research,Spring 2026,2026,Active,3,0,ai_native,robotics,industrial_automation,manufacturing,0,enterprise,Machine intelligence for American Welding,,,,0.85
aemon,Aemon,Winter 2026,2026,Active,3,0,ai_native,search_knowledge,ai_research_engineer,,1,mixed_b2b,The Forward-Deployed AI Research Engineer ,,,,0.6
agency-tool-company,Agency Tool Company,Summer 2026,2026,Active,3,0,ai_enabled,robotics,robot_devops_infra,,0,developers,"Reliable infrastructure to build, deploy and manage real-world robots.",,,,0.75
agent-fm,Agent FM,Summer 2026,2026,Active,2,0,ai_native,coding_devtools,coding_agent_management,,0,developers,One group chat to hear and steer your coding agents.,,,,0.9
agentphone,AgentPhone,Spring 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_identity,,0,developers,Phone Numbers for AI Agents,,,,0.85
agentcard,Agentcard,Summer 2026,2026,Active,0,0,ai_infrastructure,agent_infra,agent_payments,fintech,0,developers,debit cards for AI agents.,,,,0.9
agentic-fabriq,Agentic Fabriq,Winter 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_identity_auth,,0,enterprise,The control plane for AI agents.,,,,0.9
agnost-ai,Agnost AI,Summer 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,evals_llm_observability,,0,developers,Product Analytics for Conversational Agents,,,,0.85
akkari,Akkari,Spring 2026,2026,Active,5,0,ai_native,customer_support,customer_operations,,1,mixed_b2b,Autonomous Customer Operations,,,,0.7
akon-labs,Akon Labs,Summer 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_infrastructure,,0,mixed_b2b,Nervous System for AI Agents,,,,0.5
aktoria-robotics,Aktoria Robotics,Summer 2026,2026,Active,6,0,ai_enabled,robotics,teleoperation,,0,mixed_b2b,Human as API for robots,,,,0.6
alchemize,Alchemize,Spring 2026,2026,Active,2,0,ai_native,coding_devtools,code_review,,0,developers,Ship more code with confidence,,,,0.9
alkera-ai,Alkera AI,Summer 2026,2026,Active,3,0,ai_native,coding_devtools,data_engineering_agent,,1,developers,Reliable and safe data engineering and data science agents,,,,0.8
allia-health,Allia Health,Summer 2026,2026,Active,3,0,ai_enabled,healthcare,clinical_mental_health,healthcare,0,mixed_b2b,Clinically Integrated Group for Mental Health ,,,,0.8
alloovium,Alloovium,Summer 2026,2026,Active,5,0,ai_native,vertical_other,construction_engineering,construction,0,mixed_b2b,Construction paperwork that finally works for your team,,,,0.85
allowance,Allowance,Spring 2026,2026,Active,1,0,ai_infrastructure,agent_infra,agent_payments,fintech,0,mixed_b2b,The spend control layer for AI agents,,,,0.9
almanac,Almanac,Summer 2026,2026,Active,0,0,ai_native,productivity_assistants,executive_assistant,,1,mixed_b2b,The AI that knows your company,,,,0.85
alt-x,Alt-X,Winter 2026,2026,Active,2,0,ai_enabled,vertical_other,fintech_banking,fintech,0,enterprise,Building the best venue for private markets exposure.,,,,0.75
amboras,Amboras,Spring 2026,2026,Active,3,0,ai_native,vertical_other,retail_ecommerce_b2b,retail,1,smb,AI Native Shopify,,,,0.8
amorphic-labs,Amorphic Labs,Summer 2026,2026,Active,2,0,ai_infrastructure,agent_infra,agent_payments_commerce,,0,developers,Software Commerce Infrastructure for Agents,,,,0.9
amulet,Amulet,Summer 2026,2026,Active,2,0,ai_infrastructure,agent_infra,sandboxes_runtimes,,0,developers,High performance file system for agents,,,,0.85
andco,Andco,Spring 2026,2026,Active,3,0,ai_native,legal_compliance,paralegal_agents,legal,1,smb,Agents that build personal injury cases,,,,0.9
andustry,Andustry,Spring 2026,2026,Active,2,0,ai_enabled,hardware_semis,ai_hardware_lab,manufacturing,0,mixed_b2b,,,,,0.35
antropi-robotics,Antropi Robotics,Fall 2026,2026,Active,0,0,ai_enabled,robotics,industrial_automation,manufacturing,0,enterprise,Autonomous CNC factories for faster hardware,,,,0.55
applied-electrodynamics-inc,"Applied Electrodynamics, Inc.",Summer 2026,2026,Active,5,0,ai_enabled,hardware_semis,imaging_hardware,construction,0,enterprise,A new kind of camera that can see through walls.,,,,0.6
approxima,Approxima,Winter 2026,2026,Active,2,0,ai_native,coding_devtools,autonomous_coding_agents,,1,developers,Your software should build itself.,,,,0.9
aquashield,AquaShield,Spring 2026,2026,Active,3,0,ai_enabled,vertical_other,real_estate_proptech,real_estate,0,enterprise,AI water leak detection for buildings,,,,0.7
ara,Ara,Spring 2026,2026,Active,2,0,ai_native,coding_devtools,coding_agents,,1,developers,The Cloud Coding Agent,,,,0.95
archal,Archal,Summer 2026,2026,Active,2,0,ai_infrastructure,agent_infra,sandboxes_runtimes,,0,developers,"API sandboxes, built for AI agents",,,,0.9
archer,Archer,Spring 2026,2026,Active,4,0,ai_enabled,vertical_other,fintech_banking,fintech,0,mixed_b2b,Global payouts for the workforce powering AI,,,,0.6
arctic-health,Arctic Health,Spring 2026,2026,Active,4,0,ai_native,healthcare,credentialing,healthcare,1,mixed_b2b,AI-native credentialing and contracting for healthcare,,,,0.9
arden,Arden,Spring 2026,2026,Active,2,0,ai_native,finance_accounting,tax_audit,,1,enterprise,AI-native internal audit firm,,,,0.9
ardent,Ardent,Spring 2026,2026,Active,3,0,ai_infrastructure,agent_infra,sandboxes_runtimes,,0,developers,Database sandboxes for Agents,,,,0.85
arga-labs,Arga Labs,Spring 2026,2026,Active,4,0,ai_infrastructure,agent_infra,sandboxes_runtimes,,0,developers,Real-world sandboxes to test and train AI agents,,,,0.9
arlo-industries,Arlo Industries,Spring 2026,2026,Active,3,0,ai_enabled,defense_gov,defense_isr,defense,0,government,"Track drones and missiles without radars - Accurate, Passive, Scalable",,,,0.75
armature,Armature,Spring 2026,2026,Active,3,0,ai_infrastructure,data_ml_ops,evals_llm_observability,,0,developers,Improve how users experience your product through AI Agents,,,,0.8
arzana,Arzana,Spring 2026,2026,Active,6,0,ai_native,vertical_other,supply_chain_manufacturing,manufacturing,1,smb,The autonomous ERP for every manufacturer,,,,0.9
asendia-ai,Asendia AI,Spring 2026,2026,Active,3,0,ai_native,hr_recruiting,ai_recruiters_sourcing,,1,smb,AI recruiters for staffing agencies,,,,0.95
aseon-labs,Aseon Labs,Spring 2026,2026,Active,5,0,ai_enabled,robotics,autonomous_vehicle_servicing,automotive,0,enterprise,Robotic pitstops for self-driving cars,,,,0.75
ashr,Ashr,Winter 2026,2026,Active,2,0,ai_infrastructure,data_ml_ops,agent_evals_testing,,0,mixed_b2b,Automated Multi-Modal Testing for Agents,,,,0.85
asimov,Asimov,Winter 2026,2026,Active,3,0,ai_infrastructure,data_ml_ops,robotics_training_data,,0,enterprise,Real-world human movement data for humanoid robots,,,,0.85
assemble,Assemble,Summer 2026,2026,Active,4,0,ai_native,coding_devtools,enterprise_system_dev_agents,,1,enterprise,AI Coworkers for IT teams,,,,0.75
asterlab,Aster,Spring 2026,2026,Active,2,0,ai_native,search_knowledge,deep_research,,1,mixed_b2b,Automating open-ended research.,,,,0.7
astraea,Astraea,Spring 2026,2026,Active,2,0,ai_native,healthcare,clinical_trial_ops,healthcare,1,enterprise,AI Operating System for Clinical Development,,,,0.85
withasync,Async,Summer 2026,2026,Active,2,0,ai_native,workflow_automation,ai_employees,,1,smb,AI agents that run small businesses,,,,0.85
atlas-discovery,Atlas Discovery,Summer 2026,2026,Active,3,0,ai_native,bio_science,drug_discovery,science_biotech,0,enterprise,Predicting human response to drugs in clinical trials,,,,0.8
atlia,Atlia,Summer 2026,2026,Active,2,0,ai_native,vertical_other,real_estate_proptech,real_estate,1,consumer,The AI-native property management company,,,,0.85
atomarine,Atomarine,Summer 2026,2026,Active,2,0,ai_infrastructure,hardware_semis,datacenter_energy,energy,0,enterprise,Floating nuclear powered data centers at sea.,,,,0.8
atrisa,Atrisa,Spring 2026,2026,Active,3,0,ai_native,coding_devtools,analog_circuit_design_agents,manufacturing,1,enterprise,AI Agents for Analog Circuit Design,,,,0.6
audun,Audun,Summer 2026,2026,Active,5,0,ai_native,finance_accounting,debt_collection,fintech,1,mixed_b2b,AI-native debt collection,,,,0.7
aurorin-cad,Aurorin CAD,Winter 2026,2026,Active,1,0,ai_native,vertical_other,construction_engineering,manufacturing,0,mixed_b2b,Claude code for Mechanical Engineers,,,,0.7
autositu,AutoSitu,Winter 2026,2026,Active,2,0,ai_native,defense_gov,govtech_permitting,government,1,government,AI-native workspace for development plan reviews,,,,0.8
autostep,Autostep,Spring 2026,2026,Active,2,0,ai_native,workflow_automation,process_mining_automation,,1,mixed_b2b,The P&L for knowledge work,,,,0.8
autumn-ai,Autumn AI,Winter 2026,2026,Active,2,0,ai_native,sales_marketing,lead_enrichment,,0,mixed_b2b,Stalk your prospects at scale.,,,,0.85
auxos,Auxos,Spring 2026,2026,Active,3,0,ai_native,sales_marketing,market_research_simulation,,0,enterprise,Simulations of real people for market research ,,,,0.85
avea-robotics,Avea Robotics,Spring 2026,2026,Active,2,0,ai_enabled,robotics,robot_teleoperation_software,,0,enterprise,The human-in-the-loop system for robots,,,,0.75
avoca-systems,Avoca Systems,Summer 2026,2026,Active,8,0,ai_native,healthcare,patient_intake_engagement,healthcare,1,enterprise,The AI-powered operating system for radiology networks,,,,0.85
avoice,Avoice,Winter 2026,2026,Active,4,0,ai_native,vertical_other,construction_engineering,construction,1,smb,Harvey for Architecture,,,,0.85
